pilot_row_index	source_row_index	source_file_index	id	word	_5	context	w_word	wo_word	followup	human_negative_followups	human_negative_pilot_row_indices	human_negative_source_row_indices	human_negative_count	followup_token_length	followup_final_punctuation	build_seed	human_negative_target	row_limit	prompt_with	prompt_without	next_speaker	fold_id
439	439	1223	4701	not		Can you be serious for a moment, we've been dating for 6 months now, I really like you. I'd like to take a relationship to the next level.__eou__So what are you trying to say to me?	It feels like you are not dedicate to our relationship. It seems like you treat it as a just casual dating.	It feels like you are dedicate to our relationship. It seems like you treat it as a just casual dating.	How should I say it?	"[""What are you thinking about?"",""What time is it now?"",""Beth, what date is today?"",""When did the trouble start?"",""What about restaurants and entertainment?""]"	[1036,128,442,1023,891]	[1036,128,442,1023,891]	5	5	?	13	5		"Speaker 1: Can you be serious for a moment, we've been dating for 6 months now, I really like you. I'd like to take a relationship to the next level.
Speaker 2: So what are you trying to say to me?
Speaker 1: It feels like you are not dedicate to our relationship. It seems like you treat it as a just casual dating.
Speaker 2: "	"Speaker 1: Can you be serious for a moment, we've been dating for 6 months now, I really like you. I'd like to take a relationship to the next level.
Speaker 2: So what are you trying to say to me?
Speaker 1: It feels like you are dedicate to our relationship. It seems like you treat it as a just casual dating.
Speaker 2: "	Speaker 2	1
440	440	1224	4702	not		What do you think of being a secretary?	I'm not at all keen on that sort of job.It makes me crazy.	I'm at all keen on that sort of job.It makes me crazy.	How come?	"[""like what?"",""This one?"",""Why not?"",""Oh, yeah?"",""I lost?""]"	[875,295,397,655,1290]	[875,295,397,655,1290]	5	2	?	13	5		"Speaker 1: What do you think of being a secretary?
Speaker 2: I'm not at all keen on that sort of job.It makes me crazy.
Speaker 1: "	"Speaker 1: What do you think of being a secretary?
Speaker 2: I'm at all keen on that sort of job.It makes me crazy.
Speaker 1: "	Speaker 1	0
441	441	1232	4746	not		so, how should we go to the theatre?__eou__let's take the bus.__eou__I hate the bus system in London! The bus drivers are rude, the buses are never on time, and there are few people around who can help you.	It's not that bad. You probably just had a bad experience once.	It's that bad. You probably just had a bad experience once.	it wasn't just once. Every single time I take the bus, something bad happens to me or to someone else on the bus.	"[""Thanks again for buying the tickets. That was the most exciting live concert I've ever seen. That silver electric guitar was really cool."",""Thank you very much. Mr. George. As a newcomer, I understand that you have your consideration and I am satisfied with the raise."",""Well, it has nothing to do with virus. The problem is your attachment is a bit larger. It has exceeded the e-mail capacity."",""I really miss the change of seasons like we have in Colorado; but I must admit, this sure is a nice spring day."",""Well, you can simply tell them you want to sleep, or make an agreement for a time when the room should quiet down.""]"	[546,1072,1198,594,146]	[546,1072,1198,594,146]	5	23	.	13	5		"Speaker 1: so, how should we go to the theatre?
Speaker 2: let's take the bus.
Speaker 1: I hate the bus system in London! The bus drivers are rude, the buses are never on time, and there are few people around who can help you.
Speaker 2: It's not that bad. You probably just had a bad experience once.
Speaker 1: "	"Speaker 1: so, how should we go to the theatre?
Speaker 2: let's take the bus.
Speaker 1: I hate the bus system in London! The bus drivers are rude, the buses are never on time, and there are few people around who can help you.
Speaker 2: It's that bad. You probably just had a bad experience once.
Speaker 1: "	Speaker 1	0
442	442	1237	4765	not		The sun is up! Time for all the campers to rise. Time to get paddling.__eou__Oh, no! No more paddling! My arms are sore!	Do not worry. Today will be easier.	Do worry. Today will be easier.	Beth, what date is today?	"[""What is the next step?"",""Why are you feeling depressed?"",""Then what is your opinion?"",""When did the trouble start?"",""Any karks on his face?""]"	[1145,624,1217,1044,1241]	[1145,624,1217,1044,1241]	5	5	?	13	5		"Speaker 1: The sun is up! Time for all the campers to rise. Time to get paddling.
Speaker 2: Oh, no! No more paddling! My arms are sore!
Speaker 1: Do not worry. Today will be easier.
Speaker 2: "	"Speaker 1: The sun is up! Time for all the campers to rise. Time to get paddling.
Speaker 2: Oh, no! No more paddling! My arms are sore!
Speaker 1: Do worry. Today will be easier.
Speaker 2: "	Speaker 2	4
443	443	1242	4773	not		Mom, why do chinese people like to touch my head? sometimes they even touch my cheeks.__eou__That is a part of chinese culture, if they think you are a lovely child, they touch your head and say, how cute you are.	But i donor like it, not a bit, i am not a pet, i am a girl.	But i donor like it, a bit, i am a pet, i am a girl.	Well, you get used to it, different countries have different manners.	"[""I wish I could play a musical instrument. I love music."",""We have tons of furniture. What we need are air conditioners."",""oh. I had hoped she would have called me back yesterday."",""So they have started the year end sale earlier this year."",""Zina, I hope you're not scheming to make Elvin look bad.""]"	[916,214,1233,64,683]	[916,214,1233,64,683]	5	11	.	13	5		"Speaker 1: Mom, why do chinese people like to touch my head? sometimes they even touch my cheeks.
Speaker 2: That is a part of chinese culture, if they think you are a lovely child, they touch your head and say, how cute you are.
Speaker 1: But i donor like it, not a bit, i am not a pet, i am a girl.
Speaker 2: "	"Speaker 1: Mom, why do chinese people like to touch my head? sometimes they even touch my cheeks.
Speaker 2: That is a part of chinese culture, if they think you are a lovely child, they touch your head and say, how cute you are.
Speaker 1: But i donor like it, a bit, i am a pet, i am a girl.
Speaker 2: "	Speaker 2	4
444	444	1243	4777	not		Hi Isabel! You wanted to see me?__eou__Yes Anthony, come on in. Have a seat.__eou__Is everything okay? You seem a bit preoccupied.	Well, Anthony, this is not going to be an easy conversation.The company has made some decisions which will have a direct impact on your employment.	Well, Anthony, this is going to be an easy conversation.The company has made some decisions which will have a direct impact on your employment.	Okay ...	"[""I won't."",""I see."",""Please yourself."",""Thank you."",""Got it.""]"	[241,607,678,1108,346]	[241,607,678,1108,346]	5	2	.	13	5		"Speaker 1: Hi Isabel! You wanted to see me?
Speaker 2: Yes Anthony, come on in. Have a seat.
Speaker 1: Is everything okay? You seem a bit preoccupied.
Speaker 2: Well, Anthony, this is not going to be an easy conversation.The company has made some decisions which will have a direct impact on your employment.
Speaker 1: "	"Speaker 1: Hi Isabel! You wanted to see me?
Speaker 2: Yes Anthony, come on in. Have a seat.
Speaker 1: Is everything okay? You seem a bit preoccupied.
Speaker 2: Well, Anthony, this is going to be an easy conversation.The company has made some decisions which will have a direct impact on your employment.
Speaker 1: "	Speaker 1	2
445	445	1245	4782	not		What do you think of this one?__eou__Eh, so so.__eou__And this one? Too flashy?	Nah, not too flashy.	Nah, too flashy.	Hug! And this sweater from my aunt? Isn’t it hideous?	"[""So, you sent out invitations to your whole graduating class?"",""But Could you tell me when he will be back?"",""You do realize that all the evidence points to you?"",""Not a great week for the world! Any good news?"",""Very good. What was your favorite subject in middle school?""]"	[245,1080,1261,225,1089]	[245,1080,1261,225,1089]	5	10	?	13	5		"Speaker 1: What do you think of this one?
Speaker 2: Eh, so so.
Speaker 1: And this one? Too flashy?
Speaker 2: Nah, not too flashy.
Speaker 1: "	"Speaker 1: What do you think of this one?
Speaker 2: Eh, so so.
Speaker 1: And this one? Too flashy?
Speaker 2: Nah, too flashy.
Speaker 1: "	Speaker 1	3
446	446	1246	4783	not		Hey, Mary, can you cut that out?	Cut what out I’m not doing anything.	Cut what out I’m doing anything.	The tapping of your pen on your desk. It’s driving me crazy.	"[""I changed my strategy around too. I invest in good companies now."",""Well, we hit it off with each other. Nothing more, nothing much."",""I know that, but making a lot of money makes me crazy."",""Come on. Getting a tan symbolizes health and wealth in western countries."",""Here we go. There is a museum of the Beijing Opera art.""]"	[1299,557,1082,475,186]	[1299,557,1082,475,186]	5	12	.	13	5		"Speaker 1: Hey, Mary, can you cut that out?
Speaker 2: Cut what out I’m not doing anything.
Speaker 1: "	"Speaker 1: Hey, Mary, can you cut that out?
Speaker 2: Cut what out I’m doing anything.
Speaker 1: "	Speaker 1	0
447	447	1248	4787	not		Wow, that terrible movie is finally over. Next time I’m picking the film, because I don’t want to end up seeing a chick flick.__eou__Well you should have picked, in the end you always complain about everything.	Not everything, just this film. Even the title is ridiculous. and it’s so long, those are the two and a half most wasted hours of my life, so much so that I’m thinking about asking them to give me my money back.	Everything, just this film. Even the title is ridiculous. and it’s so long, those are the two and a half most wasted hours of my life, so much so that I’m thinking about asking them to give me my money back.	I’m thinking of taking you back home. I thought we could have a nice evening, but you’re always so negative.	"[""In the case, maybe facial charm should be his leading card. After all, the majority of his fans are girls."",""You like horror movies? I don't like them because they're too scary! I like comedies because I love to laugh."",""Really? That's too bad! You should be at home in bed. It's really important to get a lot of rest."",""yeah, feels like yesterday. Now I\u2019m almost settled down here. We\u2019re planning to buy an apartment and tie the knot."",""It beats me! I never thought about it before and maybe I thought finding a career is a simple thing.""]"	[914,495,590,1236,343]	[914,495,590,1236,343]	5	20	.	13	5		"Speaker 1: Wow, that terrible movie is finally over. Next time I’m picking the film, because I don’t want to end up seeing a chick flick.
Speaker 2: Well you should have picked, in the end you always complain about everything.
Speaker 1: Not everything, just this film. Even the title is ridiculous. and it’s so long, those are the two and a half most wasted hours of my life, so much so that I’m thinking about asking them to give me my money back.
Speaker 2: "	"Speaker 1: Wow, that terrible movie is finally over. Next time I’m picking the film, because I don’t want to end up seeing a chick flick.
Speaker 2: Well you should have picked, in the end you always complain about everything.
Speaker 1: Everything, just this film. Even the title is ridiculous. and it’s so long, those are the two and a half most wasted hours of my life, so much so that I’m thinking about asking them to give me my money back.
Speaker 2: "	Speaker 2	0
448	448	1249	4789	not		Hi dude, you look upset, what's up?__eou__haven't been sleeping well recently.__eou__what's the problem?	Every night my roommates watch the Korean soap operas till mid-night. I am not a big fan of Korean shows and I don't know how to tell them to stop without hurting their feelings.	Every night my roommates watch the Korean soap operas till mid-night. I am a big fan of Korean shows and I don't know how to tell them to stop without hurting their feelings.	well, you can simply tell them you want to sleep, or make an arrangement for a time when the room should quiet down.	"[""Thanks again for buying the tickets. That was the most exciting live concert I've ever seen. That silver electric guitar was really cool."",""It wasn't just once. Every single time I take the bus, something bad happens to me or to someone else on the bus."",""Well, it has nothing to do with virus. The problem is your attachment is a bit larger. It has exceeded the e-mail capacity."",""Thank you very much. Mr. George. As a newcomer, I understand that you have your consideration and I am satisfied with the raise."",""I really miss the change of seasons like we have in Colorado; but I must admit, this sure is a nice spring day.""]"	[546,101,1202,1072,687]	[546,101,1202,1072,687]	5	23	.	13	5		"Speaker 1: Hi dude, you look upset, what's up?
Speaker 2: haven't been sleeping well recently.
Speaker 1: what's the problem?
Speaker 2: Every night my roommates watch the Korean soap operas till mid-night. I am not a big fan of Korean shows and I don't know how to tell them to stop without hurting their feelings.
Speaker 1: "	"Speaker 1: Hi dude, you look upset, what's up?
Speaker 2: haven't been sleeping well recently.
Speaker 1: what's the problem?
Speaker 2: Every night my roommates watch the Korean soap operas till mid-night. I am a big fan of Korean shows and I don't know how to tell them to stop without hurting their feelings.
Speaker 1: "	Speaker 1	0
449	449	1261	4831	not		What do you say to eating out, Maggie?	Yeah, why not? We haven't been out for dinner for quite a long time. A new French restaurant has just opened in our neighborhood. We can go there.	Yeah, why? We haven't been out for dinner for quite a long time. A new French restaurant has just opened in our neighborhood. We can go there.	Do we need to book a table in advance?	"[""Why don't we stop and have a rest here?"",""Can you give him a call on his mobile?"",""How did it grow into such a large place?"",""You are right. How about paintings and embroidered handkerchiefs?"",""That's tough. What does your wife think about this?""]"	[981,464,715,21,481]	[981,464,715,21,481]	5	9	?	13	5		"Speaker 1: What do you say to eating out, Maggie?
Speaker 2: Yeah, why not? We haven't been out for dinner for quite a long time. A new French restaurant has just opened in our neighborhood. We can go there.
Speaker 1: "	"Speaker 1: What do you say to eating out, Maggie?
Speaker 2: Yeah, why? We haven't been out for dinner for quite a long time. A new French restaurant has just opened in our neighborhood. We can go there.
Speaker 1: "	Speaker 1	0
450	450	1262	4832	not		What a wonderful party! I had a good time. How about you?__eou__I enjoyed myself, too.__eou__Shall I give you a ride home?	Yes, if it's not too much of a trouble.	Yes, if it's too much of a trouble.	It's no trouble at all because your house is on the way to my place.	"[""It is just pop song, you could have sung there too if you want it."",""Oh, sorry to hear that. This is quite unusual. I will look into the matter."",""Heavy metal music is a lot different from rap music.You can dance to heavy metal."",""Poor guy! It will take him a long time to get back on his feet."",""That\u2019s absurd. I know some junior high kids who can stay out later than that.""]"	[696,143,545,606,265]	[696,143,545,606,265]	5	15	.	13	5		"Speaker 1: What a wonderful party! I had a good time. How about you?
Speaker 2: I enjoyed myself, too.
Speaker 1: Shall I give you a ride home?
Speaker 2: Yes, if it's not too much of a trouble.
Speaker 1: "	"Speaker 1: What a wonderful party! I had a good time. How about you?
Speaker 2: I enjoyed myself, too.
Speaker 1: Shall I give you a ride home?
Speaker 2: Yes, if it's too much of a trouble.
Speaker 1: "	Speaker 1	4
451	451	1264	4837	not		Can you do push-ups?	Of course I can. It's a piece of cake! Believe it or not, I can do 30 push-ups a minute.	Of course I can. It's a piece of cake! Believe it or, I can do 30 push-ups a minute.	Really? I think that's impossible!	"[""Look! He has a partner!"",""He did? That's too bad!"",""Dad! I\u2019m gonna catch a cold!"",""I see, thank you very much!"",""It's perfect! It's a Dilbert tie!""]"	[1178,867,226,1013,250]	[1178,867,226,1013,250]	5	5	!	13	5		"Speaker 1: Can you do push-ups?
Speaker 2: Of course I can. It's a piece of cake! Believe it or not, I can do 30 push-ups a minute.
Speaker 1: "	"Speaker 1: Can you do push-ups?
Speaker 2: Of course I can. It's a piece of cake! Believe it or, I can do 30 push-ups a minute.
Speaker 1: "	Speaker 1	1
452	452	1266	4853	not		Jim, I heard you’Ve bought a new computer.__eou__Yes. Look, it is on my desk.__eou__Your office looks different with a computer. By the way, is it difficult to use a computer?	Not at all. It’s a piece of cake.	At all. It’s a piece of cake.	A piece of cake?	"[""What are you studying?"",""Just in case, right?"",""Does she wear glasses?"",""Oh, what\u2019s she like?"",""What did you order?""]"	[348,251,540,200,141]	[348,251,540,200,141]	5	4	?	13	5		"Speaker 1: Jim, I heard you’Ve bought a new computer.
Speaker 2: Yes. Look, it is on my desk.
Speaker 1: Your office looks different with a computer. By the way, is it difficult to use a computer?
Speaker 2: Not at all. It’s a piece of cake.
Speaker 1: "	"Speaker 1: Jim, I heard you’Ve bought a new computer.
Speaker 2: Yes. Look, it is on my desk.
Speaker 1: Your office looks different with a computer. By the way, is it difficult to use a computer?
Speaker 2: At all. It’s a piece of cake.
Speaker 1: "	Speaker 1	0
453	453	1268	4864	not		Have you ever seen coco?	I've seen her on TV but not in the flesh.	I've seen her on TV but in the flesh.	I'm so familiar with her songs, but I don't know what kind of person she is in real life.	"[""Unfortunately, if you wish to withdraw on your C / D before the pre-decided date, you must give notice."",""We really have some miserable weather sometime. i wish i would live somewhere which were sunning all year round."",""Oh, it's interesting. Dad told me you brought him here when he was young, too. Now, it's my turn."",""Oh, that's easy. If it's better than the one you are doing now, go for it. That's my advice."",""Really? You're an amazing bargain hunter! Next time there's a sale, promise you'll let me tag along with you.""]"	[1267,919,188,383,385]	[1267,919,188,383,385]	5	19	.	13	5		"Speaker 1: Have you ever seen coco?
Speaker 2: I've seen her on TV but not in the flesh.
Speaker 1: "	"Speaker 1: Have you ever seen coco?
Speaker 2: I've seen her on TV but in the flesh.
Speaker 1: "	Speaker 1	3
454	454	1269	4867	not		I've heard that you've made a new strange friend recently, Sophie.	Yes. He is an old man with a great sense of humour. Not only can he play the piano, he also draws pictures very well.	Yes. He is an old man with a great sense of humour. Only can he play the piano, he also draws pictures very well.	So you can learn a lot from him.	"[""Oh, thank you. That\u2019s very kind of you."",""Let\u2019s stop gossiping and get back to work."",""OK. Then tell me what else you know."",""Yes, but sometimes he is just not reasonable."",""Yeah. She married him at her mother's bidding.""]"	[971,793,534,257,705]	[971,793,534,257,705]	5	8	.	13	5		"Speaker 1: I've heard that you've made a new strange friend recently, Sophie.
Speaker 2: Yes. He is an old man with a great sense of humour. Not only can he play the piano, he also draws pictures very well.
Speaker 1: "	"Speaker 1: I've heard that you've made a new strange friend recently, Sophie.
Speaker 2: Yes. He is an old man with a great sense of humour. Only can he play the piano, he also draws pictures very well.
Speaker 1: "	Speaker 1	0
455	455	1270	4884	not		Hi. What's up?__eou__Nothing much. What's new with you?	Not too much. I've been pretty busy.	Too much. I've been pretty busy.	Me too. Seems like all I do is eat and sleep.	"[""I\u2019m at the end of tether. I run out of ideas."",""Zina, I hope you're not scheming to make Elvin look bad."",""I agree. I like his brother, Paul. They are not alike."",""Well, that all depends on how much you want to invest."",""I think this one fits you. It's the new fashion style.""]"	[377,683,721,1285,104]	[377,683,721,1285,104]	5	11	.	13	5		"Speaker 1: Hi. What's up?
Speaker 2: Nothing much. What's new with you?
Speaker 1: Not too much. I've been pretty busy.
Speaker 2: "	"Speaker 1: Hi. What's up?
Speaker 2: Nothing much. What's new with you?
Speaker 1: Too much. I've been pretty busy.
Speaker 2: "	Speaker 2	3
456	456	1275	4916	not		How about going to the cinema tonight?__eou__That's great. What's on tonight?	I am not sure about the name of the film, but I know it's a romantic one.	I am sure about the name of the film, but I know it's a romantic one.	Romantic? I am afraid I like thrillers better.	"[""What do you mean by on the whole."",""Maybe he is on the way home now."",""Yes, you're right. Maybe there's any other reason."",""We offer packages with all the movie channels."",""However, he disappointed us very much this time.""]"	[929,650,394,315,382]	[929,650,394,315,382]	5	8	.	13	5		"Speaker 1: How about going to the cinema tonight?
Speaker 2: That's great. What's on tonight?
Speaker 1: I am not sure about the name of the film, but I know it's a romantic one.
Speaker 2: "	"Speaker 1: How about going to the cinema tonight?
Speaker 2: That's great. What's on tonight?
Speaker 1: I am sure about the name of the film, but I know it's a romantic one.
Speaker 2: "	Speaker 2	2
457	457	1280	4944	not		I am considering going for the new job that was posted yesterday.__eou__Are you certain that that is what you want to do?	It may not be the best choice for me, but I am considering it.	It may be the best choice for me, but I am considering it.	Why do you think that this would be a good move?	"[""Very well, sir. Do you want me to trim your beard?"",""Well, did you want to go see a movie with me?"",""Can you leave a message for her to call her office?"",""But you have so many friends! How could you be lonely?"",""That's true. What kind of safety features are we talking about?""]"	[270,949,7,579,255]	[270,949,7,579,255]	5	11	?	13	5		"Speaker 1: I am considering going for the new job that was posted yesterday.
Speaker 2: Are you certain that that is what you want to do?
Speaker 1: It may not be the best choice for me, but I am considering it.
Speaker 2: "	"Speaker 1: I am considering going for the new job that was posted yesterday.
Speaker 2: Are you certain that that is what you want to do?
Speaker 1: It may be the best choice for me, but I am considering it.
Speaker 2: "	Speaker 2	3
458	458	1281	4946	not		I think that the company retreat should be in the mountains this year.__eou__What a great idea!__eou__January would be a good month for a mountain retreat.	I like the mountain idea, but I am not so sure about the month of January.	I like the mountain idea, but I am so sure about the month of January.	You know, now that I think about it, you might be right.	"[""You pay for the taxi and dinner, then to even things up."",""Oh, no. He is not breathing and there\u2019s no pulse. Call 911."",""I see. What you need is one of our Petty Consumer Loans."",""you should be. You worked really hard last night preparing for it."",""I changed my strategy around too. I invest in good companies now.""]"	[529,268,1252,366,1288]	[529,268,1252,366,1288]	5	12	.	13	5		"Speaker 1: I think that the company retreat should be in the mountains this year.
Speaker 2: What a great idea!
Speaker 1: January would be a good month for a mountain retreat.
Speaker 2: I like the mountain idea, but I am not so sure about the month of January.
Speaker 1: "	"Speaker 1: I think that the company retreat should be in the mountains this year.
Speaker 2: What a great idea!
Speaker 1: January would be a good month for a mountain retreat.
Speaker 2: I like the mountain idea, but I am so sure about the month of January.
Speaker 1: "	Speaker 1	2
459	459	1283	4955	not		Hello, Mr. Brown, long time no see. Where have you been?__eou__Oh, I went on a holiday in the city of Chende.__eou__Great. What do you think of it?	The city is small, not very modern, but there are many mountains with lots of trees around the city, so the air there is pretty fresh.	The city is small, very modern, but there are many mountains with lots of trees around the city, so the air there is pretty fresh.	Did you go to the Summer Mountain Resort?	"[""Do you mind if I go with you?"",""Do you want to go see a movie?"",""I am sorry, could you repeat it please?"",""I see. How about buying and selling items?"",""Oh. I\u2019m sorry to hear that. What happened?""]"	[190,552,1140,1276,668]	[190,552,1140,1276,668]	5	8	?	13	5		"Speaker 1: Hello, Mr. Brown, long time no see. Where have you been?
Speaker 2: Oh, I went on a holiday in the city of Chende.
Speaker 1: Great. What do you think of it?
Speaker 2: The city is small, not very modern, but there are many mountains with lots of trees around the city, so the air there is pretty fresh.
Speaker 1: "	"Speaker 1: Hello, Mr. Brown, long time no see. Where have you been?
Speaker 2: Oh, I went on a holiday in the city of Chende.
Speaker 1: Great. What do you think of it?
Speaker 2: The city is small, very modern, but there are many mountains with lots of trees around the city, so the air there is pretty fresh.
Speaker 1: "	Speaker 1	4
460	460	1285	4963	not		Could you help me prepare for my presentation on Friday?__eou__I would love to help you prepare for your presentation.__eou__I hate to ask you to do something like that.	This will not interfere with my work. I promise you that.	This will interfere with my work. I promise you that.	When could we get together?	"[""Who composed it for your?"",""Why are you feeling depress?"",""When is he coming back?"",""Why are you feeling depressed?"",""What about restaurants and entertainment?""]"	[515,387,12,399,714]	[515,387,12,399,714]	5	5	?	13	5		"Speaker 1: Could you help me prepare for my presentation on Friday?
Speaker 2: I would love to help you prepare for your presentation.
Speaker 1: I hate to ask you to do something like that.
Speaker 2: This will not interfere with my work. I promise you that.
Speaker 1: "	"Speaker 1: Could you help me prepare for my presentation on Friday?
Speaker 2: I would love to help you prepare for your presentation.
Speaker 1: I hate to ask you to do something like that.
Speaker 2: This will interfere with my work. I promise you that.
Speaker 1: "	Speaker 1	2
461	461	1286	4965	not		I was thinking about applying for the new position.__eou__Do you think that is a good idea?	It seems like a good idea but I am not really sure.	It seems like a good idea but I am really sure.	What are your main concerns?	"[""What is your greatest accomplishment?"",""When did the trouble start?"",""Would you like anything else?"",""What is the next step?"",""Any karks on his face?""]"	[1092,1044,237,1145,1241]	[1092,1044,237,1145,1241]	5	5	?	13	5		"Speaker 1: I was thinking about applying for the new position.
Speaker 2: Do you think that is a good idea?
Speaker 1: It seems like a good idea but I am not really sure.
Speaker 2: "	"Speaker 1: I was thinking about applying for the new position.
Speaker 2: Do you think that is a good idea?
Speaker 1: It seems like a good idea but I am really sure.
Speaker 2: "	Speaker 2	3
462	462	1289	4980	not		Well, my particular interest is collecting stamps, especially the rare ones. What about you?	I’m afraid that’s not my cup of tea. I just find skin-diving attracting.	I’m afraid that’s my cup of tea. I just find skin-diving attracting.	So have you ever been to the stamp display of the town?	"[""What are you going to do? Are you going to work late?"",""How can you cash them when you arrive in the United States?"",""Do you have any hobbies like playing tennis or things like that?"",""Thank you for telling me about this. What should I do here?"",""Could you ask her to call me back when she gets in?""]"	[156,978,491,990,159]	[156,978,491,990,159]	5	12	?	13	5		"Speaker 1: Well, my particular interest is collecting stamps, especially the rare ones. What about you?
Speaker 2: I’m afraid that’s not my cup of tea. I just find skin-diving attracting.
Speaker 1: "	"Speaker 1: Well, my particular interest is collecting stamps, especially the rare ones. What about you?
Speaker 2: I’m afraid that’s my cup of tea. I just find skin-diving attracting.
Speaker 1: "	Speaker 1	1
463	463	1290	4981	not		I heard that Kevin got divorced. Is that true?	Not so bad, but Kevin does have problems with his wife.	So bad, but Kevin does have problems with his wife.	What?	"[""Why?"",""Really?"",""These?"",""What research?"",""Why not?""]"	[508,707,294,824,675]	[508,707,294,824,675]	5	1	?	13	5		"Speaker 1: I heard that Kevin got divorced. Is that true?
Speaker 2: Not so bad, but Kevin does have problems with his wife.
Speaker 1: "	"Speaker 1: I heard that Kevin got divorced. Is that true?
Speaker 2: So bad, but Kevin does have problems with his wife.
Speaker 1: "	Speaker 1	4
464	464	1293	4992	not		Where's Bob?	It seems like he's not coming.	It seems like he's coming.	Can you give him a call on his mobile?	"[""Great. Could you tell me something about cash control?"",""Right. Do you have the code for that one?"",""Could you tell me something about your English education?"",""Sit here please.How would you like your hair done?"",""I noticed that too. What are the people learning?""]"	[1135,1283,1095,228,723]	[1135,1283,1095,228,723]	5	9	?	13	5		"Speaker 1: Where's Bob?
Speaker 2: It seems like he's not coming.
Speaker 1: "	"Speaker 1: Where's Bob?
Speaker 2: It seems like he's coming.
Speaker 1: "	Speaker 1	2
465	465	1298	5028	not		How was your date recently?	Not too bad. It is seemingly too hard for me to find a place for our date.	Too bad. It is seemingly too hard for me to find a place for our date.	I guess so. Going to watch a movie and having dinner at a restaurant are usual.	"[""You are quite right. Thank you for sharing your experience with me. I learned a lot."",""You'll be sorry if the boss finds it out. He may probably give you the bag."",""Well I am used to that, Mr. Parsons, so that\u2019s not really a shock for me."",""I'm considering entering for the beauty contest this summer, so I must have a slender figure."",""The people don\u2019t really work out there. They just stand around and talk all the time.""]"	[1169,632,1179,49,860]	[1169,632,1179,49,860]	5	16	.	13	5		"Speaker 1: How was your date recently?
Speaker 2: Not too bad. It is seemingly too hard for me to find a place for our date.
Speaker 1: "	"Speaker 1: How was your date recently?
Speaker 2: Too bad. It is seemingly too hard for me to find a place for our date.
Speaker 1: "	Speaker 1	2
466	466	1300	5034	not		How do you like waltz?__eou__It's very nice, I like it very much.__eou__May I invite you for the first dance?	My pleasure. But I'm afraid I'm not much of a dancer.	My pleasure. But I'm afraid I'm much of a dancer.	In fact, I took up dancing quite recently, too.	"[""Yeah, I\u2019ll try not to! See you after Christmas."",""I understand. I'm interested in the Petty Consumer Loan."",""I\u2019m relieved to hear that. Anyway, it\u2019s my fault."",""That's not fair, you got all the easy questions."",""I appreciate it. It is related to company image.""]"	[958,1253,388,796,810]	[958,1253,388,796,810]	5	9	.	13	5		"Speaker 1: How do you like waltz?
Speaker 2: It's very nice, I like it very much.
Speaker 1: May I invite you for the first dance?
Speaker 2: My pleasure. But I'm afraid I'm not much of a dancer.
Speaker 1: "	"Speaker 1: How do you like waltz?
Speaker 2: It's very nice, I like it very much.
Speaker 1: May I invite you for the first dance?
Speaker 2: My pleasure. But I'm afraid I'm much of a dancer.
Speaker 1: "	Speaker 1	4
467	467	1307	5084	not		Honey, what's wrong with you?	I'm not feeling well. I'm very nervous.	I'm feeling well. I'm very nervous.	Take it easy. We are going to have our own baby. You should be happy.	"[""It is just pop song, you could have sung there too if you want it."",""Looks like it.You need to drink a lot of water and take a good rest."",""Oh, sorry to hear that. This is quite unusual. I will look into the matter."",""By the way, I heard Kitty's just got in a shipment of Jamaican Blue Mountain."",""Why not? You've done so well for the company. She should give you a prize.""]"	[696,809,143,213,1063]	[696,809,143,213,1063]	5	15	.	13	5		"Speaker 1: Honey, what's wrong with you?
Speaker 2: I'm not feeling well. I'm very nervous.
Speaker 1: "	"Speaker 1: Honey, what's wrong with you?
Speaker 2: I'm feeling well. I'm very nervous.
Speaker 1: "	Speaker 1	2
468	468	1314	5155	not		We came too early. There're still three hours before the performance starts.__eou__I know. Sorry, I shouldn't have rushed you, but I just couldn't stay at home and wait.__eou__Never mind. What about taking a look around the theater?	Why not? I'd love to do that.	Why? I'd love to do that.	Here we go. There is a museum of the Beijing Opera art. ( They come to the museum of the Beijing Opera art. )	"[""Not a problem. We offer a Personal Loan for Studying Abroad for anyone who's studying overseas, regardless of the circumstances. Anyone is eligible to apply"",""University graduates have difficulty finding a job too. There seems to be more and more competition in the job market"",""Oh! I've just come back from Canada and I've brought a parcel from her parents"",""In other parts of the world, especially in Africa, there is a problem with desertification. Climate change and over-farming are causing farmland to turn into desert. In means that people cannot grow e"",""Well as we know nothing comes out of a can. We have years of experience tailoring workshops to the specific needs of your company. We can hone in on your problem areas and have your employe""]"	[1250,526,611,920,1303]	[1250,526,611,920,1303]	5	24		13	5		"Speaker 1: We came too early. There're still three hours before the performance starts.
Speaker 2: I know. Sorry, I shouldn't have rushed you, but I just couldn't stay at home and wait.
Speaker 1: Never mind. What about taking a look around the theater?
Speaker 2: Why not? I'd love to do that.
Speaker 1: "	"Speaker 1: We came too early. There're still three hours before the performance starts.
Speaker 2: I know. Sorry, I shouldn't have rushed you, but I just couldn't stay at home and wait.
Speaker 1: Never mind. What about taking a look around the theater?
Speaker 2: Why? I'd love to do that.
Speaker 1: "	Speaker 1	3
